Averaging Time (tau),Allan Deviation
0.01,0.00100401
0.02,0.000710267
0.03,0.000580095
0.04,0.000500526
0.05,0.00044651
0.06,0.000408053
0.07,0.00037821
0.08,0.000354319
0.09,0.000334701
0.1,0.000317527
0.11,0.000302562
0.12,0.000289786
0.13,0.000278735
0.14,0.000268761
0.15,0.000259766
0.16,0.000251583
0.17,0.000244105
0.18,0.000237323
0.19,0.000231079
0.2,0.000225295
0.21,0.00021989
0.22,0.000214801
0.23,0.000210039
0.24,0.000205639
0.25,0.000201601
0.26,0.00019781
0.27,0.000194315
0.28,0.000191037
0.29,0.000187936
0.3,0.000185059
0.31,0.000182347
0.32,0.000179832
0.33,0.000177486
0.34,0.000175213
0.35,0.000173037
0.36,0.000170997
0.37,0.000169061
0.38,0.000167233
0.39,0.000165475
0.4,0.000163813
0.41,0.000162235
0.42,0.000160741
0.43,0.000159321
0.44,0.000157992
0.45,0.000156734
0.46,0.000155485
0.47,0.000154282
0.48,0.000153073
0.49,0.000151866
0.5,0.0001507
0.51,0.000149574
0.52,0.000148456
0.53,0.000147378
0.54,0.000146354
0.55,0.000145363
0.56,0.000144402
0.57,0.000143474
0.58,0.000142576
0.59,0.000141699
0.6,0.000140851
0.61,0.000140046
0.62,0.000139266
0.63,0.00013851
0.64,0.000137772
0.65,0.000137049
0.66,0.000136355
0.67,0.000135673
0.68,0.000135024
0.69,0.000134388
0.7,0.000133788
0.71,0.000133202
0.72,0.00013264
0.73,0.00013211
0.74,0.000131596
0.75,0.000131108
0.76,0.000130628
0.77,0.000130169
0.78,0.000129707
0.79,0.00012926
0.8,0.000128834
0.81,0.000128425
0.82,0.00012803
0.83,0.000127649
0.84,0.000127279
0.85,0.000126907
0.86,0.000126541
0.87,0.000126184
0.88,0.000125841
0.89,0.000125499
0.9,0.000125169
0.91,0.000124845
0.92,0.000124542
0.93,0.000124258
0.94,0.000123994
0.95,0.000123742
0.96,0.000123503
0.97,0.000123285
0.98,0.000123085
0.99,0.000122889
1,0.000122699
1.01,0.000122513
1.02,0.000122326
1.03,0.000122153
1.04,0.000121985
1.05,0.000121823
1.06,0.000121661
1.07,0.000121503
1.08,0.00012136
1.09,0.000121223
1.1,0.000121089
1.11,0.000120956
1.12,0.000120821
1.13,0.000120681
1.14,0.000120554
1.15,0.000120437
1.16,0.000120322
1.17,0.000120213
1.18,0.000120112
1.19,0.000120007
1.2,0.000119902
1.21,0.000119796
1.22,0.000119695
1.23,0.000119598
1.24,0.000119498
1.25,0.000119405
1.26,0.000119318
1.27,0.000119234
1.28,0.000119151
1.29,0.000119072
1.3,0.000119001
1.31,0.000118928
1.32,0.000118863
1.33,0.000118813
1.34,0.000118766
1.35,0.00011872
1.36,0.000118682
1.37,0.000118649
1.38,0.000118617
1.39,0.000118588
1.4,0.000118563
1.41,0.000118542
1.42,0.000118525
1.43,0.000118511
1.44,0.000118496
1.45,0.000118483
1.46,0.000118476
1.47,0.00011847
1.48,0.000118467
1.49,0.000118466
1.5,0.000118471
1.51,0.000118478
1.52,0.000118493
1.53,0.000118509
1.54,0.000118531
1.55,0.000118553
1.56,0.000118579
1.57,0.000118607
1.58,0.000118636
1.59,0.000118666
1.6,0.000118699
1.61,0.00011873
1.62,0.000118771
1.63,0.000118816
1.64,0.000118865
1.65,0.000118917
1.66,0.000118967
1.67,0.00011902
1.68,0.000119078
1.69,0.000119139
1.7,0.000119201
1.71,0.000119269
1.72,0.000119341
1.73,0.000119415
1.74,0.000119485
1.75,0.000119559
1.76,0.000119636
1.77,0.000119716
1.78,0.000119796
1.79,0.00011988
1.8,0.000119966
1.81,0.000120053
1.82,0.00012014
1.83,0.000120225
1.84,0.00012031
1.85,0.000120397
1.86,0.000120484
1.87,0.000120573
1.88,0.000120662
1.89,0.000120754
1.9,0.000120847
1.91,0.00012094
1.92,0.000121034
1.93,0.00012113
1.94,0.000121224
1.95,0.00012132
1.96,0.000121417
1.97,0.000121518
1.98,0.00012162
1.99,0.000121724
2,0.000121828
2.01,0.000121933
2.02,0.000122041
2.03,0.000122153
2.04,0.000122266
2.05,0.000122379
2.06,0.000122493
2.07,0.000122609
2.08,0.000122728
2.09,0.000122847
2.1,0.000122968
2.11,0.00012309
2.12,0.000123212
2.13,0.000123336
2.14,0.000123461
2.15,0.000123585
2.16,0.000123709
2.17,0.000123834
2.18,0.000123959
2.19,0.000124085
2.2,0.000124213
2.21,0.000124344
2.22,0.000124476
2.23,0.000124607
2.24,0.000124739
2.25,0.000124875
2.26,0.000125009
2.27,0.000125144
2.28,0.000125279
2.29,0.000125415
2.3,0.000125551
2.31,0.000125688
2.32,0.000125825
2.33,0.000125963
2.34,0.000126101
2.35,0.00012624
2.36,0.000126379
2.37,0.000126518
2.38,0.000126659
2.39,0.000126799
2.4,0.000126939
2.41,0.00012708
2.42,0.000127223
2.43,0.000127367
2.44,0.000127514
2.45,0.00012766
2.46,0.000127807
2.47,0.000127958
2.48,0.00012811
2.49,0.000128264
2.5,0.000128418
2.51,0.000128571
2.52,0.000128725
2.53,0.00012888
2.54,0.000129035
2.55,0.000129191
2.56,0.000129348
2.57,0.000129504
2.58,0.00012966
2.59,0.000129817
2.6,0.000129975
2.61,0.000130133
2.62,0.000130291
2.63,0.000130449
2.64,0.000130605
2.65,0.000130762
2.66,0.000130918
2.67,0.000131073
2.68,0.000131229
2.69,0.000131386
2.7,0.000131541
2.71,0.000131697
2.72,0.000131854
2.73,0.00013201
2.74,0.000132166
2.75,0.000132322
2.76,0.000132477
2.77,0.000132632
2.78,0.000132787
2.79,0.000132941
2.8,0.000133096
2.81,0.000133251
2.82,0.000133407
2.83,0.000133562
2.84,0.000133716
2.85,0.000133872
2.86,0.000134028
2.87,0.000134184
2.88,0.00013434
2.89,0.000134496
2.9,0.000134653
2.91,0.000134811
2.92,0.000134968
2.93,0.000135125
2.94,0.000135282
2.95,0.000135439
2.96,0.000135594
2.97,0.00013575
2.98,0.000135906
2.99,0.000136061
3,0.000136217
3.01,0.000136374
3.02,0.000136531
3.03,0.000136687
3.04,0.000136842
3.05,0.000136998
3.06,0.000137154
3.07,0.000137309
3.08,0.000137464
3.09,0.000137621
3.1,0.000137778
3.11,0.000137935
3.12,0.000138091
3.13,0.000138247
3.14,0.000138404
3.15,0.00013856
3.16,0.000138716
3.17,0.000138872
3.18,0.000139028
3.19,0.000139184
3.2,0.00013934
3.21,0.000139496
3.22,0.000139652
3.23,0.000139806
3.24,0.000139961
3.25,0.000140115
3.26,0.000140268
3.27,0.00014042
3.28,0.000140572
3.29,0.000140724
3.3,0.000140876
3.31,0.000141029
3.32,0.000141182
3.33,0.000141335
3.34,0.000141487
3.35,0.00014164
3.36,0.000141794
3.37,0.000141948
3.38,0.000142103
3.39,0.000142258
3.4,0.000142412
3.41,0.000142566
3.42,0.000142719
3.43,0.000142872
3.44,0.000143025
3.45,0.000143176
3.46,0.000143329
3.47,0.000143482
3.48,0.000143635
3.49,0.000143787
3.5,0.000143941
3.51,0.000144094
3.52,0.000144248
3.53,0.000144402
3.54,0.000144556
3.55,0.000144711
3.56,0.000144864
3.57,0.000145018
3.58,0.000145171
3.59,0.000145324
3.6,0.000145476
3.61,0.000145629
3.62,0.000145782
3.63,0.000145934
3.64,0.000146087
3.65,0.00014624
3.66,0.000146392
3.67,0.000146544
3.68,0.000146697
3.69,0.000146849
3.7,0.000147001
3.71,0.000147154
3.72,0.000147306
3.73,0.000147459
3.74,0.000147613
3.75,0.000147766
3.76,0.000147919
3.77,0.000148072
3.78,0.000148225
3.79,0.000148378
3.8,0.000148531
3.81,0.000148684
3.82,0.000148836
3.83,0.000148989
3.84,0.000149142
3.85,0.000149294
3.86,0.000149446
3.87,0.000149598
3.88,0.00014975
3.89,0.000149902
3.9,0.000150053
3.91,0.000150204
3.92,0.000150355
3.93,0.000150505
3.94,0.000150655
3.95,0.000150806
3.96,0.000150957
3.97,0.000151107
3.98,0.000151258
3.99,0.000151409
4,0.00015156
4.01,0.000151711
4.02,0.000151862
4.03,0.000152012
4.04,0.000152162
4.05,0.000152311
4.06,0.000152461
4.07,0.000152611
4.08,0.000152761
4.09,0.00015291
4.1,0.000153059
4.11,0.000153208
4.12,0.000153356
4.13,0.000153505
4.14,0.000153654
4.15,0.000153803
4.16,0.000153952
4.17,0.000154101
4.18,0.000154249
4.19,0.000154398
4.2,0.000154546
4.21,0.000154695
4.22,0.000154843
4.23,0.000154991
4.24,0.000155139
4.25,0.000155287
4.26,0.000155435
4.27,0.000155583
4.28,0.000155731
